method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,8,B,vendor_B_Philips,3,73,166,0.1619475566927927,0.004425056231017393,0.31504500002027996,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,74,166,0.16003808109875184,0.004399257351599455,0.3112776480076543,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,75,166,0.15945438982312937,0.004358300640449736,0.31019217891237105,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,76,166,0.15977183328829256,0.0041578875823754325,0.31122789204300166,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,77,166,0.15825848731335745,0.0041159048623192205,0.3082851652639458,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,78,166,0.1599825987569898,0.004213911434916039,0.31153737558388567,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,79,166,0.1608770447053823,0.004093387502989682,0.31356731438672686,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,80,166,0.15929147087217096,0.00405044941910464,0.3104820427406265,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,81,166,0.1593624148069017,0.004046777395127588,0.3106312750423529,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,82,166,0.15883663058819542,0.0038958060245186717,0.30988164896886033,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,83,166,0.15836315083665303,0.003853139525745064,0.3090200224464916,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,84,166,0.15741425741419016,0.003687647534590439,0.3074532205306263,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,85,166,0.16483847693686027,0.03376158580172762,0.26215378208512286,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,86,166,0.11831369993826711,0.027319602348493885,0.1819881951683257,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,87,166,0.10415543478924826,0.02134120562226029,0.1656284585415599,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,88,166,0.10504791023860495,0.021329451961083764,0.16743691638112068,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,89,166,0.09200338545782738,0.015585049507152065,0.15283667264753079,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,90,166,0.09880269327795649,0.01949674580021795,0.15861189448420543,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,91,166,0.08917022689458835,0.01429091396191752,0.14975862591022468,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,92,166,0.08564189940421696,0.014772893793611642,0.14173801158027477,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,93,166,0.08036710838057909,0.012159983753731632,0.13641424937151284,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,94,166,0.0810995925532048,0.01251834680056985,0.13716249120791993,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,95,166,0.08595675535230751,0.01727929746126195,0.1373549154005855,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,96,166,0.06836033403783677,0.015242942777204227,0.10623478254370661,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,97,166,0.08135139549442802,0.020396814847095723,0.12190916059336748,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,98,166,0.07462053522692029,0.017323539224846,0.11459399202097971,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,99,166,0.07326627037970417,0.017004301634067333,0.11252393771007836,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,100,166,0.06751743904932077,0.013513746954702649,0.10800738408263907,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,101,166,0.06832342597106135,0.01485952713908291,0.10692779706364655,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,102,166,0.06831960055797574,0.01358106596597347,0.10947706945330264,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,103,166,0.06831572650292192,0.01599578192760517,0.10463988904403634,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,104,166,0.08190627299608236,0.021731019645637596,0.12035050613424146,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,105,166,0.06318446069237697,0.012144136110724634,0.10208064887717545,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,106,166,0.08355537429451942,0.02269487787621567,0.1217209925448679,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,107,166,0.06605449478220508,0.015158740629677672,0.10179150849580765,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,108,166,0.06658746619675174,0.016385171388511557,0.1004045898521162,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,109,166,0.06490053069295294,0.016346226401447533,0.09710860838103726,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,110,166,0.05531546336609915,0.01095274136491479,0.0887254438621093,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,111,166,0.06375227245805135,0.01573673024751156,0.09603108405079468,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,112,166,0.05565624203847115,0.010754048891634825,0.08980438651808773,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,113,166,0.05492985558258482,0.011160514993503332,0.08753868091447525,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,114,166,0.048947918296129586,0.009211975368615016,0.07947188552962728,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,115,166,0.060054854747940256,0.012551421798900309,0.09500686552779503,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,116,166,0.06969914562910436,0.01559845328959356,0.10820138479122915,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,117,166,0.06019367816218411,0.011329490845708782,0.09772837438048368,0.001,125,2642
