method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,4,A,vendor_A_Siemens,4,63,139,0.18547282603790435,0.005047219979623667,0.36085121194235714,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,64,139,0.1845194765989729,0.0049611773097338226,0.3591165968196855,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,65,139,0.18440872141354375,0.004700430583463405,0.35941658136870364,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,66,139,0.1831346339137434,0.004578607002769014,0.35711205391575107,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,67,139,0.18311763576251996,0.004485983929174731,0.3572633030603258,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,68,139,0.18318875037508903,0.004433194888929883,0.357511111086221,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,69,139,0.18305849297333965,0.00444555270197473,0.35722588024122254,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,70,139,0.18217170377858252,0.004213532005778427,0.3559163426645368,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,71,139,0.18157541282850204,0.004135467760305074,0.35487989073605847,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,72,139,0.18027133947546534,0.0039532832858293395,0.35263611220841784,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,73,139,0.18144233862487533,0.004024400747642457,0.3548358760291724,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,74,139,0.18027307505873466,0.004002464446071669,0.3525412213459289,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,75,139,0.1797474400683058,0.003824554435680989,0.35184577048468074,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,76,139,0.17932086679146444,0.0038095727335098837,0.3510225863336659,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,77,139,0.17959048129993377,0.0036757353060081492,0.3518294923597102,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,78,139,0.1789768685807856,0.003589064078807509,0.3507756090743079,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,79,139,0.17856285447696987,0.0035143907855284943,0.3500969267899184,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,80,139,0.17827451355058513,0.003750889418016878,0.3490472484728415,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,81,139,0.17921548714633467,0.0036170318255388588,0.35119690901512723,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,82,139,0.17758023631658484,0.0034626217553954865,0.34823522840043625,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,83,139,0.17645105491760824,0.0033611641608835233,0.34617978138782135,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,84,139,0.20703622931949525,0.01965490532720716,0.37476264830115885,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,85,139,0.20469229872063768,0.020980841982707703,0.36742291401187294,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,86,139,0.18613420995019322,0.01819419115446776,0.3358800381207638,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,87,139,0.1630316752431204,0.010620669783394543,0.3048220110668553,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,88,139,0.15480695501398697,0.008487480860069502,0.2926389484954395,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,89,139,0.14768538645488752,0.007339658962710084,0.28069145570127224,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,90,139,0.15218155321886215,0.008367617403512164,0.28762787044477117,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,91,139,0.14919475104204186,0.007716504414733366,0.28295649266500267,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,92,139,0.14814071051722807,0.008247891405811735,0.27978563876889595,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,93,139,0.17778469579254122,0.01472574522343578,0.3261179011717117,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,94,139,0.1729513339751916,0.013774111578844006,0.3183544441092786,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,95,139,0.18074396509918378,0.019678200146169972,0.3221315299864296,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,96,139,0.19243337680324377,0.022902722651366707,0.3390613088933684,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,97,139,0.1704257115078487,0.01377752367340082,0.3132963763724128,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,98,139,0.16886212574921067,0.013611698131204294,0.3105008556045217,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,99,139,0.1554949181757385,0.009112260714776332,0.29276531473766987,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,100,139,0.1483106999892554,0.007127362286685397,0.2823666757066473,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,101,139,0.15409150875086408,0.010495913293708465,0.2871911919695868,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,102,139,0.16091939710455833,0.011115115849475422,0.29960856249006534,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,103,139,0.16553476624351612,0.014217664266554571,0.30263420264069124,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,104,139,0.15465204364104237,0.010597667010273221,0.28810875316103585,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,105,139,0.15260492053499325,0.008588725540170566,0.2880323902308512,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,106,139,0.14576408652950534,0.006561933155674085,0.2784043060575458,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,107,139,0.1560622412416575,0.010728563997800724,0.2906673548461722,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,108,139,0.15150708844550223,0.00812259603043844,0.28676898579160087,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,109,139,0.14440190181028928,0.006257458310239285,0.2762888864004355,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,110,139,0.14124165218082263,0.005543575012426583,0.2713961545511973,0.001,95,2212
