method,labeled_cases_per_class,seed,epoch,steps,lambda_u,ema_alpha,train_loss,supervised_loss,ce_loss,dice_loss,consistency_loss,labeled_slice_count,unlabeled_slice_count,run_dir
MeanTeacher,1,0,11,180,0.07221373613511059,0.99,0.04798609763577891,0.04787336234359019,0.00013263200150201253,0.09548146063009173,0.001561131429237624,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,12,180,0.08629358649937054,0.99,0.04767914897286876,0.04754653930124025,5.1895861007425185e-05,0.09498928708554659,0.0015367255665801672,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,13,180,0.10247616951201168,0.99,0.04661425454671391,0.04646936913421895,3.551025705140394e-05,0.09286771767963525,0.0014138454089536229,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,14,180,0.12093525007041664,0.99,0.0473167123581839,0.047165231602088575,2.3820980691703476e-05,0.09428282118784005,0.0012525762631816584,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,15,180,0.14183015908734253,0.99,0.047073754112675996,0.04690309611566287,2.357504446687623e-05,0.09375904271696021,0.0012032565250087322,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,16,180,0.16529888822158656,0.99,0.04691447433999403,0.04672608119435608,1.6206977610030055e-05,0.09341974844331465,0.0011397112479446352,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,17,180,0.19145068942395502,0.99,0.055617444858782825,0.055295335687696935,0.0022871190702163503,0.10601643330107133,0.0016824649242658375,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,18,180,0.2203583927832338,0.99,0.053883266335793045,0.053527329524351644,0.001148226704986478,0.10475820546918031,0.0016152625774136847,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,19,180,0.2520507053511909,0.99,0.048169369747241335,0.04791326612854997,2.2187559498989788e-05,0.09578215730273061,0.0010160800978256804,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,20,180,0.2865047968601901,0.99,0.04810347804612118,0.04784475161626081,1.4474263778336332e-05,0.09566055477092353,0.0009030440526354747,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,21,180,0.32363951196500207,0.99,0.04786834768836141,0.04758364080031849,1.229224520910874e-05,0.09514269733659199,0.0008797043387959194,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,22,180,0.36330956935901126,0.99,0.047034537246023925,0.04675179846207256,9.929495397247795e-06,0.0934837376633368,0.0007782313574150773,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,23,180,0.40530111269102076,0.99,0.0472674748921741,0.046972102251028346,9.044642603031308e-06,0.09392611525901076,0.0007287731633469877,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,24,180,0.44932896411722156,0.99,0.04749817122501554,0.04719977316057743,9.208093800023359e-06,0.09438113041162272,0.0006640968860463343,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
